CLIENT_ID,Travel,Meals,Lodging,Groceries,Entertainment,Clothing,Electronics,Home_Supplies,Communication,Misc,Scandanavian,Japan,Eastern_Europe,Africa,South_America,Mid_East,Western_Europe,China
20001,0,102804,415583.8,110932.6,79571.2,99544,151453.5,347527,45177,125934.2,0,0,0,0,1478527.3,0,0,0
20002,0,0,0,37716.5,0,11057.6,0,46830.8,48979.3,0,0,0,0,144584.2,0,0,0,0
20003,0,176259.5,97178.1,225546.6,137625.7,193684.4,192947.9,341621.4,259815,210225,0,0,0,0,0,0,0,1834903.6
20004,0,95970.1,0,58664,47531.9,0,0,0,0,0,0,0,0,239215.6,0,0,0,0
20005,0,113258.2,86907.1,39403.3,0,15418.1,0,83424.8,0,75056.8,0,0,0,0,0,0,0,413468.3
20006,0,0,0,0,0,85134.8,0,0,0,0,0,0,0,85134.8,0,0,0,0
20007,0,405500.9,200620.9,209399.3,471835.5,227838,475301.9,305590.5,382437.9,266027.2,0,0,0,0,0,0,0,2944552.1
20008,0,20958.5,0,0,0,0,0,0,68735.9,0,0,0,0,89694.4,0,0,0,0
20009,0,0,0,0,0,74310.5,0,0,0,0,0,0,0,0,0,0,0,74310.5
20010,0,0,0,0,60134.6,0,76954.9,0,0,0,0,0,0,137089.5,0,0,0,0
20011,0,408555.7,167122,394431.1,102678.2,151697.8,296048.7,278824.1,211297.4,74372.8,0,0,0,0,0,0,0,2085027.8
20012,0,0,0,0,0,0,48267.2,31372.4,0,0,0,0,0,79639.6,0,0,0,0
20013,0,175159,46078.4,238486.4,52142.8,5585.6,0,68672.4,71779.7,49515.5,0,0,0,0,0,0,0,707419.8
20014,0,103083.7,124202.2,32740.4,37511.3,59553.2,0,61109.3,74731.9,56161.3,0,0,0,549093.3,0,0,0,0
20015,0,366512.9,209273.5,105922.3,179234.9,265747.5,76140.2,423507.2,230255.2,101806.1,0,0,0,0,0,0,0,1958399.8
20016,0,29234.9,65207.2,0,81697.7,79714.1,0,63565.6,93826.5,77627.9,0,0,0,490873.9,0,0,0,0
20017,0,0,0,0,0,95559.7,0,89335.3,77006.2,0,0,0,0,0,0,0,0,261901.2
20018,0,85556.2,0,0,95696.5,69909.7,128614,0,56543.6,150062.3,0,0,0,586382.3,0,0,0,0
20019,0,270450,506543.6,245040.6,133857.6,380090.3,157244.3,309358.6,99286.3,227398.3,0,0,0,0,0,0,0,2329269.6
20020,0,69659.3,86907.1,0,43507.3,44635.9,90002.2,125929.3,158225.1,118912.2,0,0,0,737778.4,0,0,0,0
20021,0,0,72047.2,0,27097.4,0,0,0,0,0,0,0,0,0,0,0,0,99144.6
20022,0,85761.4,40880,0,18906.5,147093,1481.6,0,173991.3,177496.8,0,0,0,645610.6,0,0,0,0
20023,0,310003.5,259650.1,58828.9,240976.9,105140.6,309980.3,235299.7,78664.9,380328.5,0,0,0,0,0,0,0,1978873.4
20024,0,4747.7,83538.4,0,0,0,0,0,22617.2,0,0,0,0,110903.3,0,0,0,0
20025,0,189477.8,239665.1,245104.1,3909.8,127774.9,465652.6,0,171067.2,362123.1,0,0,0,0,0,0,0,2077478.1
20026,0,35966.2,0,0,0,15589.1,0,0,18273.8,46163.9,0,0,0,115993,0,0,0,0
20027,0,0,27661.7,0,0,0,73575.2,0,0,0,0,0,0,0,0,0,0,101236.9
20028,0,57991,27576.2,83976.9,138104.5,99903.1,77200.4,50336.3,114506.5,0,0,0,0,649594.9,0,0,0,0
20029,0,154679.3,204935,277804.2,270388.9,213685.3,407375.8,365925.4,158960.4,305430.5,0,0,0,0,0,0,0,2359184.8
20030,0,25261.6,0,22132.3,113850.6,89808,9450.2,115252.8,93199.9,49772,0,0,0,518727.4,0,0,0,0
20031,0,0,0,0,0,26122.7,0,0,0,0,0,0,0,0,0,0,0,26122.7
20032,0,167367.5,175803.9,86445.4,47987.5,729.2,56800.1,53072.3,91763.5,0,0,0,0,679969.4,0,0,0,0
20033,0,405323.8,336718.6,214266.7,80516.6,209843.9,407705.6,146779.1,192709.7,255631.6,0,0,0,0,0,0,0,2249495.6
20034,0,0,108589.9,123569.5,80152.6,106901.9,52057.3,71671,0,0,0,0,0,542942.2,0,0,0,0
20035,0,49754.9,50678.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100433.2
20036,0,0,34775.3,36519.5,0,0,40828.7,0,0,89021.4,0,0,0,201144.9,0,0,0,0
20037,0,115116,12117.8,94362.7,153887.8,71722.3,180523.5,3909.8,55289.2,0,0,0,0,0,0,0,0,686929.1
20038,0,41136.5,198432.1,14888,22679.5,147287.2,36570.8,31782.8,71882.3,131497.8,0,0,0,696157,0,0,0,0
20039,0,220433.7,363526.5,89175.3,258475.1,120564.8,238177.4,380922.1,329070,75729.8,0,0,0,0,0,0,0,2076074.7
20040,0,22412,141011.5,0,138457.5,68496.5,88702.6,91381.2,0,74019.8,0,0,0,624481.1,0,0,0,0
20041,0,246277.9,512471.2,351196.2,186524.4,226721.6,137043.1,314539.9,263906.8,298221.6,0,0,0,0,0,0,0,2536902.7
20042,0,43085.9,0,4662.2,0,0,54594.2,0,68530.7,55055.9,0,0,0,236182.8,0,0,0,0
20043,0,36804.1,0,69898.7,130523.1,148603.9,121739.8,0,0,229252.4,0,0,0,0,0,0,0,736822
20044,0,55329.5,129941.7,82501.4,45428.6,5072.6,129787.8,0,58219.4,38708.3,0,0,0,544989.3,0,0,0,0
20045,0,298625.9,374332.5,137157.9,214272.8,348021.7,55077.9,153624,165349.7,93730,0,0,0,0,0,0,0,1840192.4
20046,0,0,60681.8,87539.8,110447.7,49389.7,82580.8,60733.1,66438.4,27200,0,0,0,545011.3,0,0,0,0
20047,0,0,0,0,0,0,60032,0,0,1772.3,0,0,0,0,0,0,0,61804.3
20048,0,80261.3,0,0,119510.7,0,0,0,0,0,0,0,0,199772,0,0,0,0
20049,0,69231.8,71403.5,28465.4,46505.9,75689.5,83732.6,0,0,93302.5,0,0,0,0,0,0,0,468331.2
20050,0,0,0,0,0,0,0,0,85590.4,0,0,0,0,85590.4,0,0,0,0
20051,0,457102.6,102872.4,420622.2,56001.3,160572.7,270064,185635.2,165851.7,108127,0,0,0,0,0,0,0,1926849.1
20052,0,120166.6,109872.4,172503.6,62875.5,84838,18985.9,0,63315.2,71585.5,0,0,0,704142.7,0,0,0,0
20053,0,80426.2,0,250615.2,104223.3,0,0,133367.8,73398.1,30363.5,0,0,0,0,0,0,0,672394.1
20054,0,92823.7,52593.5,28516.7,126322.6,209576.4,12921.5,70542.4,0,63913.7,0,0,0,657210.5,0,0,0,0
20055,0,237152.6,209797.5,190264.4,259923.7,179531.7,205761.9,343103,214335.1,420064,0,0,0,0,0,0,0,2259933.9
20056,0,242379.1,7962.5,0,148159.3,37306.1,0,36485.3,144357,38907.4,0,0,0,655556.7,0,0,0,0
20057,0,0,0,0,0,38161.1,0,0,0,24395.6,0,0,0,0,0,0,0,62556.7
20058,0,45.2,57261.8,59803.6,168797.8,0,0,94738.9,67573.1,189938.3,0,0,0,638158.7,0,0,0,0
20059,0,58133.9,115184.4,207272.8,339917.5,197696.8,140850.3,416034.5,163731.3,81218.9,0,0,0,0,0,0,0,1720040.4
20060,0,56971.1,233299,79645.7,111462.7,50762.6,67008.8,73729.1,24977,145451.4,0,0,0,843307.4,0,0,0,0
20061,0,87693.7,173243.8,152587,182409.4,41962.2,202091.5,1088.3,38554.4,176988.7,0,0,0,0,0,0,0,1056619
20062,0,0,0,26396.3,0,57330.2,0,0,19505,0,0,0,0,103231.5,0,0,0,0
